Question,Answer
When was Newton's date of birth recorded?,"Christmas Day, Decembeer 25, 1642."
When was Newton's date of birth recorded?,"his date of birth was recorded as Christmas Day, December 25, 1642"
How many laws of motion did Netwon have?,Three
How many laws of motion did Netwon have?,Three
Who did Newton see as the master creator?,God
Who did Newton see as the master creator?,Newton saw God as the master creator whose existence could not be denied in the face of the grandeur of all creation
When did Netwon investigate the refraction of light,From 1670 to 1672
When did Netwon investigate the refraction of light,1670-1672
What principles did Newton explain for mechanics?,The principles of conservation of momentum and angular momentum
What principles did Newton explain for mechanics?,"In mechanics, Newton enunciated the principles of conservation of momentum and angular momentum"
Interaction with what man stirred up Newton's interest in alchemy?,Henry More
Interaction with what man stirred up Newton's interest in alchemy?,"The contact with the theosophist Henry More, revived his interest in alchemy"
James Watt's improvements of what were fundamental to the changes wrought by the Industrial Revolution?,The steam engine.
James Watt's improvements of what were fundamental to the changes wrought by the Industrial Revolution?,steam engine
James Watt was born where?,"Greenock, a seaport on the Firth of Clyde"
What was the name of James Watt's mother?,Agnus Muirhead
What was the name of James Watt's mother?,Agnes Muirhead
How many of James Watt's children did not live to adulthood?,3
How many of James Watt's children did not live to adulthood?,3
James Watt ranked first among how many people in Charles Murray's survey of historiometry?,229
James Watt ranked first among how many people in Charles Murray's survey of historiometry?,229
In what year did James travel to Lodon to study instrument-making?,1753
For how many years of James Watt's life was his mother alive?,17 years
What is James Watt most famous for?,Steam engine.
Do most Japanese people employ politeness?,yes
Is it true that Japanese borrowed a considerable number of words?,yes
Are the several dialects of Kagoshima famous to speakers?,yes
Is Lima the capital of Peru?,Yes.
Is the Museum of Gold in Lima?,Yes.
Does Lima have volleyball venues?,Yes.
When was Lima founded?,"January 18,1535."
Where is the Park of the Reserve located?,Near the downtown area.
What is a colectivo?,Automobiles that renders express service on some major roads of the Lima Metropolitan Area.
Is the National University of San Marcos in Lima?,Yes.
Has the San Lorenzo Megaport Project been completed?,No.
How many years ago was the Lima Stock Exchange the most profitable in the world?,Three
Is rainfall very low?,Yes.
Is lima the capital  and  largest  city  of Peru?,Yes.
"Is The GDP  per capita in Lima $ 7,600  /  ref )?",Yes.
The Spanish Crown named Pizarro governor of what?,Hemming.
Is it true that the ideas of the Enlightenment shaped the development of the city?,Yes.
The ideas of the Enlightenment shaped the development of what?,"the city, Lima"
Is London the capital of the United Kingdom?,Yes
Is London the capital of the United Kingdom?,Yes
Does London's population draw from a wide range of religions?,Yes
Does London's population draw from a wide range of religions?,Yes
Did Caunte take control of the English throne in 101?,No
Over how many languages are spoken in London?,Over 300 languages are spoken in london
Over how many languages are spoken in London?,Over 300
What had the Anglo-Saxons created by the 600s?,"By the 600s, the Anglo-Saxons had created a new settlement called Lundenwic."
What had the Anglo-Saxons created by the 600s?,a new settlement called Lundenwic
What city in the UK has been subjected to bouts of terrorism?,London has been subjected to bouts of terrorism.
What city in the UK has been subjected to bouts of terrorism?,London
What countries did James VI of Scotland unite?,James VI of Scotland united Scotland and England.
What countries did James VI of Scotland unite?,England and Scotland
How did civil wars affect England during the Middle Ages?,London remained relatively untouched
Are the strings of a classical lyre made of gut?,Yes
Does a classical lyre have a sound-chest?,Yes
Is lyre played in mordern Greece?,No
Which part of the strings does the left hand touch?,The lower strings
In which place is lyre still played?,North-eastern parts of Africa
Does a classical lyre have a fingerboard?,Yes
Is a guitar played with a plectrum like a lyre?,Yes
Was Michael Faraday an English chemist?,yes
Was Michael Faraday an English chemist?,yes
Was Faraday a devout Christian?,yes
Was Faraday a devout Christian?,yes
Was Faraday considered a gentleman?,no
Was Faraday considered a gentleman?,no
Who was a member of the Sandemanian sect of Christianity?,yes
Who was a member of the Sandemanian sect of Christianity?,Faraday
What did Joseph Henry likely discover?,self-induction
What did Joseph Henry likely discover?,self-induction
What did the University of Oxford grant Faraday?,a Doctor of Civil Law degree (honorary)
What did the University of Oxford grant Faraday?,Doctor of Civil Law degree (honorary)
Who was made to travel outside the coach?,Faraday
Did Faraday construct the ancestor of modern power generators?,yes
Did Faraday construct the ancestor of modern power generators?,yes
Did Faraday lecture on education in 1854?,yes
Did Faraday lecture on education in 1854?,yes
Did Faraday receive an extensive formal education?,no
Did Faraday receive an extensive formal education?,no
Did Faraday discover the chemical substance benzene?,yes
Did Faraday discover the chemical substance benzene?,yes
Was Faraday born in England?,yes
Was Faraday born in England?,yes
What do some historians of science refer to Faraday as?,the best experimentalist in the history of science
What do some historians of science refer to Faraday as?,best experimentalist in the history of science
Who was the sponsor and mentor of Faraday?,John 'Mad Jack' Fuller
Who was the sponsor and mentor of Faraday?,John 'Mad Jack' Fuller
What did Faraday invent that is used almost universally in science laboratories?,the Bunsen burner
What did Faraday invent that is used almost universally in science laboratories?,Bunsen burner
Does the production of chemical weapons raise an ethical issue?,yes
What was the Faraday effect first called?,diamagnetism
What was the Faraday effect first called?,diamagnetism
Can you meet someone through attending a church?,yes
What was Michael Faraday`s birthplace?,Newington Butts
What was Michael Faraday`s profession?,chemist and physicist
"How many years ago did Faraday report on the first synthesis of compound make from carbon and chlorine , c 2 h 6 and c 2 h 4 ?",189
"How many years ago was it when he discovered the phenomenon that he named diamagnetism , and what is now called the Faraday effect?",164
"How many years ago was it when Faraday wrote a letter to The Times on the subject of the foul condition of the River Thames , which resulted in an oft-reprinted cartoon in Punch?",154
How many years ago was it when he discovered that the optical properties of gold colloids differed from those of the corresponding bulk metal?,162
Was education another area  of service  for Faraday?,yes
Was faraday `s  earliest  chemical  work as an assistant  to Davy?,Yes
"Who died at his house at Hampton Court on August 25, 1867?",Faraday
When was Michael Faraday born?,"September 22, 1791"
Where did he serve two terms?,the Church of Scotland
"Who was born in Newington Butts, near present-day South London, England?",Michael Faraday
Is it true that institution formed the foundation of electric motor technology?,no
Institution formed the foundation of what?,modern electromagnetic technology
Was his father member of the Sandemanian sect?,yes
Was faraday Christian of the small Sandemanian denomination?,yes
Is Nassau Sound a body of water in Maine?,no
Was Nassau placed in operation by Robert Fulton?,yes
Who was Fort Nassau built by?,the Dutch
What is Nassau Coliseum?,"an arena in Uniondale, New York, USA"
What was the Dead or Alive 4 fighting arena modeled after?,a Magnetic Accelerator Cannon station from Halo 2
Is Nassau Range the highest mountain range in the world?,no
Is Nassau County named after a German town?,yes
Does the United States have a base near Glasgow?,yes
Did Tesla study electrical engineering?,Yes
Did Tesla study electrical engineering?,yes
Was Tesla born in the United States?,No
Was Tesla born in the United States?,no
Was Tesla hired by Edison?,Yes
Was Tesla hired by Edison?,yes
When did Tesla demonstrate wireless communication (radio)?,1893
When did Tesla demonstrate wireless communication (radio)?,1893
What is the SI unit measuring magnetic flux density or magnetic induction?,the tesla
What is the SI unit measuring magnetic flux density or magnetic induction?,the tesla
Was Tesla regarded as a mad scientist?,Yes
Was Tesla regarded as a mad scientist?,yes
What type of current did Tesla invent?,AC
"Who was the victor of the ""War of Currents""?",Tesla
"Who was the victor of the ""War of Currents""?",Nikola Tesla
Where did Tesla study electrical engineering?,the Austrian Polytechnic in Graz 
Where did Tesla study electrical engineering?,Austrian Polytechnic in Graz
Is Ottawa the capital of Canada?,Yes
Does Ottawa sit on the Ottowa River?,Yes
Do small tremors occur in Ottawa?,Yes
What is Ottawa's population?,"1,190,982"
What are Ottawa's primary industries?,Logging and lumber
What is Ottawa's junior ice hockey team?,the Ottawa 67's
What is Ottawa's major league hockey team?,the Ottawa Senators
What are Carleton University's athletic teams called?,Carleton Ravens
Is Ottawa colder than Moscow in January?,Yes
Is Ottawa on a river?,yes
Is Ottawa on a river?,yes
Does it snow in Ottawa?,yes
Does it snow in Ottawa?,yes
Was there a cholera outbreak in 1832?,yes
Was there a cholera outbreak in 1832?,yes
Who is the mayor of Ottawa?,Larry O'Brien
Who is the mayor of Ottawa?,Larry O'Brien
How many townships are in Ottawa?,eleven
How many townships are in Ottawa?,eleven
What's the main highway in Ottawa?,"Highway 417, The Queensway"
What's the main highway in Ottawa?,provinical Highway 417
What was Ottawa's name in 1850?,Bytown
What was Ottawa's name in 1850?,Bytown
"Based on the average, in what year will the next small tremor occur in Ottawa?",2009
"Based on the average, in what year will the next small tremor occur in Ottawa?",2009
Where were immigrants from in the 1800s?,Irish
Where were immigrants from in the 1800s?,Ireland
Are there also discussions of having OC Transpo Light Rail and STO Transitway networks linking on the Gatineau side of the Ottawa River ?,Yes.
Does the giant otter live in South America?,Yes
Does the giant otter live in South America?,yes
Do otters have claws?,Yes
Do otters have claws?,yes
Do otters eat fish?,Yes
Do otters eat fish?,yes
What is an otter's den called?,A holt
What is an otter's den called?,holt
Where do sea otters live?,Beside water
Where do sea otters live?,Pacific coast of North America
Why are otters vulnerable to prey depletion?,Prey-dependence
Why are otters vulnerable to prey depletion?,prey-dependency
Do otters enjoy playing?,Yes
Do otters enjoy playing?,yes
Do sea otters have a layer of fat like whales?,No
Do sea otters have a layer of fat like whales?,no
Is the otter in the same family as the badger?,Yes
Is the otter in the same family as the badger?,yes
Are there any cities named Santiago in the United States?,yes
Are there any cities named Santiago in the United States?,Yes
Was Santiago the name of an indie/punk band?,yes
Was Santiago the name of an indie/punk band?,Yes
Is Santiago a name in Spanish?,yes
Is Santiago a name in Spanish?,Yes
What is the origin of the name Santiago?,Spanish for St. James
What is the origin of the name Santiago?,"sanit + iago, James"
Who has released an album or song named Santiago?,The Chieftains; Loreena McKennitt
Who has released an album or song named Santiago?,The Chieftains and Loreena McKennitt
What is the Order of Santiago?,a Spanish knightly order
What is the Order of Santiago?,a Spanish Knightly order
What notable people have been named Santiago?,"Benito Santiago, Hugo Santiago, Joey Santiago, Liliana Santiago, Rafael Santiago Maria, Santiago Caballero, Santiago Cabrera; James, son of Zebedee"
What notable people have been named Santiago?,"Benito, Hugo, and others"
What fictional stories include a main character named Santiago?,"Gears of War, Rainbow Six: Covert Operations Essentials, Death Foretold by Gabriel GarcÃ­a MÃ¡rquez, Ernest Hemingway's The Old Man and the Sea, the television series Babylon 5, Anne Rice's novel Interview with the Vampire, aulo Coelho's The Alchemist (novel), the television show Friday Night Lights"
What fictional stories include a main character named Santiago?,"Interview with the Vampire, The Alchemist, and others"
Is Santiago the national capital of a country?,Yes
"Is santiago Spanish for St. James  ( from santo ,  saint  +  iago ,  James  )?",Yes
Is santiago Spanish for St. James?,Yes
What is Santiago?,"Santiago is Spanish for St. James. It is also the name of places in Argentina, Brazil, Cape Verde, Chile, Colombia, Costa Rica, Cuba, the Dominican Republic, Ecuador, Guatemala, Jamaica, Mexico, Nicaragua, Panama, Paraguay, Peru, the Philippines, Portugal, Spain, the United States, Venezuela, and the Amazon. It is also the name of a baseball catcher, a film director, a guitarist, an economist, a footballer, a DJ, an actor, and James, son of Zebedee. Fictional people with this name include a character from Gears of War, a character from Chronicle of a Death Foretold, a character in Old Man and the Sea, a character in Babylon 5, a character in Interview with the Vampire, the main character of The Alchemist, and a character on Friday Night Lights. There has also been a battle of Santiago de Cuba, a couple of bands named Santiago, an Order of Santiago, and ""Santiago"" as a shortened form of the Reconquista battle cry."
Has swahili no diphthongs?,No
Is a third  prefix the object  prefix?,Yes
Is      / ref Swahili unusual among sub-Saharan languages?,Yes
"Are vowels never reduced , regardless of stress ?",Yes
Does the Australian Black Swan have white feathers on its wings?,yes
Does the Australian Black Swan have white feathers on its wings?,Yes
Do swans belong to the family Anatidae?,yes
Do swans belong to the family Anatidae?,Yes
Can black swans swim with only one leg?,yes
Can black swans swim with only one leg?,Yes
What are young swans known as?,cygnets
What are young swans known as?,Cygnets
What is the Irish legend of the Children of Lir about?,a stepmother transforming her children into swans for 900 years
What is the Irish legend of the Children of Lir about?,A stepmother transforming her children into swans for 900 years
What is the Sanskrit word for swan?,hamsa or hansa
What is the Sanskrit word for swan?,Hamsa or hansa
"Which album was the song ""The Bonny Swans"" from?",The Mask and Mirror
"Which album was the song ""The Bonny Swans"" from?",The Mask and Mirror
What is the Polish word for swan?,&#321;ab&#281;d&#378;
What is the Polish word for swan?,ÅabÄdÅº
Which ballet by Pyotr Tchaikovsky is partially based on an Ancient German legend about a princess who was turned into a swan?,Swan Lake
Which ballet by Pyotr Tchaikovsky is partially based on an Ancient German legend about a princess who was turned into a swan?,Swan Lake
Are swan birds of the family Anatidae?,Yes.
Are swan birds of the family Anatidae?,Yes
Do swans feature strongly in mythology?,Yes.
Do swans feature strongly in mythology?,Yes
Is the Trumpeter Swan the largest bird?,It is the largest bird of North America.
Is the Trumpeter Swan the largest bird?,The Trumpeter Swan is the largest bird of North America
What is the name of young swans?,Cygnets.
What is the name of young swans?,Cygnets
"Where is the word ""swan"" derived from?",Old English swan.
"Where is the word ""swan"" derived from?","The Old English word ""swan,"" derived from the Indo-European root ""*swen"", meaning to sound or to sing"
What is the best known story about a swan?,The Ugly Duckling fable.
What is the best known story about a swan?,The Ugly Duckling
Are swans and ducks birds of the same family?,Yes.
Are swans and ducks birds of the same family?,Yes
What is the name of an adult female?,Pen.
What is the name of an adult female?,An adult female swan is called a pen.
What is the color of the Australian Black Swan?,Completely black except for the white flight feathers on its wings.
What is the color of the Australian Black Swan?,Completely black except for the white feathers on its wings
Is the Tiger a member of the Felidar family?,No.
Is the Tiger a member of the Felidar family?,No
Are tigers solitary animals?,Yes.
Are tigers solitary animals?,Yes
Are panthers a type of tiger?,No.
Are panthers a type of tiger?,No
What do tigers' powerfully built legs and shoulders allow tigers to do?,They have the ability to pull down prey substantially heavier than themselves.
What do tigers' powerfully built legs and shoulders allow tigers to do?,have the ability to pull down prey substantially heavier than themselves
What would a tiger do when seized by a crocodile?,A tiger will strike at the reptile's eyes with its paws.
What would a tiger do when seized by a crocodile?,strike at the reptile's eyes with its paws
What are the typical features of a tiger country?,"It will always have good cover, it will always be close to water and plenty of prey."
What are the typical features of a tiger country?,"Good cover, close to water, and plenty of prey "
Would it be common for tigers to mate in January?,Yes.
Would it be common for tigers to mate in January?,Yes
About how many square kilometers would be needed to house 3 female tigers?,60 square kilometers
About how many square kilometers would be needed to house 3 female tigers?,60
"Would a tiger be likely to feedon smaller animals, such as mice?",Yes
Did the predecessors to trumpets have valves?,No
Are trumpets constructed of brass?,Yes
Is the bass trumpet the smallest trumpet?,No
What musical styles is the trumpet used in?,"Ska, ska punk, classical, jazz, Rock, Blues, pop, polka, cuban music, mariachi and funk."
What is the most common type of trumpet?,The B trumpet.
How does a trumpet produce sound?,By blowing air through closed lips.
How do trumpets compensate for wolf tones?,Somce trumpetes have a slide mechanism built in to compensate.
Did Miles Davis play the trumpet?,Yes
Does a trumpet have a mellower tone than a cornet?,No
Is the name of the upper shell of a turtle called the plastron?,No.
Do scutes fall away from the turtle's shell?,Some of the scutes eventually fall away from the shell.
Do scutes fall away from the turtle's shell?,"yes, eventually"
Do Terrestrial tortoises have short feet?,Yes.
Do Terrestrial tortoises have short feet?,yes
How many groups are turtles broken down into?,Two
How many groups are turtles broken down into?,two
Where are the only surviving giant tortoises?,They are on the Seychelles and GalÃ¡pagos Islands.
Where are the only surviving giant tortoises?,Seychelles and Galápagos Islands
How do turtles chew food?,Turtles use their jaws to cut and chew food.
How do turtles chew food?,Turtles use their jaws to cut and chew food
Are tortoises land based?,Yes.
Are tortoises land based?,yes
Where are turtle eggs layed?,Turtles lay eggs on land.
Where are turtle eggs layed?,on land
Is turtle soup considered a delicacy?,No.
Is turtle soup considered a delicacy?,yes
Are Testudines the crown group of the superorder Chelonia?,yes
Are Testudines the crown group of the superorder Chelonia?,Yes
Do turtles breathe air?,yes
Do turtles breathe air?,Yes
Are harvesting wild turtles legal anywhere?,yes
Approximately how many species of Testudines are alive today?,300
Approximately how many species of Testudines are alive today?,300
Where is harvesting wild turtles legal?,Florida
Where is harvesting wild turtles legal?,Florida
What was the largest ever chelonian?,Archelon ischyros
What was the largest ever chelonian?,The great letherback sea tutrtle
Is there a way to approximate the age of a turtle?,yes
Is there a way to approximate the age of a turtle?,Yes
Can turtles spend all their time underwater?,no
Can turtles spend all their time underwater?,No
Are violinists and fiddlers the same thing?,Yes
Are violinists and fiddlers the same thing?,Yes
Are violins a single size?,no
Are violins a single size?,No
Are violas and cellos in the same family of instruments as violins?,yes
Are violas and cellos in the same family of instruments as violins?,Yes
"Where does the word ""violin"" come from?","the Middle Latin word vitula, meaning ""stringed instrument"""
"Where does the word ""violin"" come from?",the Middle Latin word vitula
What is someone who makes violins called?,"a luthier, or simply a violin maker"
What is someone who makes violins called?,a luthier
How many strings does a violin usually have?,four
How many strings does a violin usually have?,4
What are violins made of?,different types of wood
What are violins made of?,"maple, ebony, sheep gut"
How long have people been making instruments like violins?,since ancient times
How long have people been making instruments like violins?,since 1555
Whate is the usual pitch range of a violin?,from G3 to C8
Whate is the usual pitch range of a violin?,from G3 to C8
Are xylophone bars made of rosewood?,yes
Is the xylophone a precursor to the vibraphone?,yes
Were ancient mallets made of copper?,no
Where did the xylophone originate?,Indonesia
What is the earliest historical reference in Europe?,Arnold Schlick's Spiegel der Orgelmacher und Organisten
How are western-style xylophones characterised?,"by a bright, sharp tone and high register"
Can a xylophone be 3 octaves?,yes
Can a short bar follow a long bar?,no
Did vibraphones exist in 1930?,yes
Was Alessandro Volta a professor of chemistry?,Alessandro Volta was not a professor of chemistry.
Was Alessandro Volta a professor of chemistry?,No
Did Alessandro Volta invent the remotely operated pistol?,Alessandro Volta did invent the remotely operated pistol.
Did Alessandro Volta invent the remotely operated pistol?,Yes
Was Alessandro Volta taught in public schools?,Volta was taught in public schools.
Was Alessandro Volta taught in public schools?,Yes
Who did Alessandro Volta marry?,Alessandro Volta married Teresa Peregrini.
Who did Alessandro Volta marry?,Teresa Peregrini
What did Alessandro Volta invent in 1800?,"In 1800, Alessandro Volta invented the voltaic pile."
What did Alessandro Volta invent in 1800?,voltaic pile
What is the battery made by Alessandro Volta credited as?,The battery made by Volta is credited as the first electrochemical cell.
What is the battery made by Alessandro Volta credited as?,the first electrochemical cell
Did Alessandro Volta die and retire in the same place?,Alessandro Volta retired and died in the same place.
Did Alessandro Volta die and retire in the same place?,Yes
When did Alessandro Volta improve  and popularize the electrophorus?,Alessandro Volta improved and popularized the electrophorus in 1775.
When did Alessandro Volta improve  and popularize the electrophorus?,1775
How long was Alessandro Volta a professor at the University of Pavia?,Alessandro Volta was a professor at the University of Pavia for almost 25 years.
How long was Alessandro Volta a professor at the University of Pavia?,almost 25 years
Was Alessandro Volta an Egyptian?,no
Was Alessandro Volta an Egyptian?,No.
Was Volta taught in public schools?,yes
Was Volta taught in public schools?,Yes.
Was Volta made a count in 1810?,yes
Was Volta made a count in 1810?,No.
Who made Volta a count?,Napoleon
Who made Volta a count?,Napoleon
Where was Volta born?,Como
Where was Volta born?,"Como, Italy"
When did Volta retire?,1819
When did Volta retire?,In 1819.
"A year before improving and popularizing the electrophorus, what did Volta become?",A professor of physics at the Royal School in Como
Was Volta buried where he died or was he buried someplace else?,where he died
Was Volta buried where he died or was he buried someplace else?,Yes.
Did Volta marry before he became professor of experimental physics at the University of Pavia?,no
Did Volta marry before he became professor of experimental physics at the University of Pavia?,No.
What happened in 1810?,Volta was made a count by Napoleon.
Wasn't Alessandro Volta born in Como?,"Yes, Volta was born in Como, Italy and was taught in the public schools there."
Was Alessandro Volta born in Como?,yes
Who became a professor of physics at the Royal School in Como?,Volta.
When was Volta made a count by Napoleon?,Volta was made a count by Napoleon in 1810.
Is Voltas legacy celebrated by a Temple on the shore of Lake Como in the center of the town?,Yes
Is the battery made by Volta credited as the first electrochemical cell?,Yes
Was Volta made a count by Napoleon in 1810?,"Yes, Volta was made a count by Napoleon in 1810."
In what year did he become a professor of physics at the Royal School in Como?,1774
Was Avogadro a  professor at the University of Turin?,Yes
Was Avogadro a  professor at the University of Turin?,"Yes, Avogadro was a professor at the University of Turin."
Was he a member of the Royal Superior Council on Public Instruction?,Yes
Was he a member of the Royal Superior Council on Public Instruction?,"Yes,  Avogadro was a member of the Royal Superior Council on Public Instruction."
Is Avogadro's number used to compute the results of chemical reactions?,Yes
Is Avogadro's number used to compute the results of chemical reactions?,"Yes, Avagadro's number is used to compute the results of chemical reactions."
Who first calculated the value of Avogadro's number?,Johann Josef Loschmidt
Who first calculated the value of Avogadro's number?,Johann Josef Loschmidt first calculated the value of Avogadro's number.
What does Avogadro's Law state?,The relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights
What does Avogadro's Law state?,Avogadro's Law states that the relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights.
Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van Hoff
Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van 't Hoff showed that Avogadro's theory holds in dilute solutions.
In what language was his 1811 paper published?,French
In what language was his 1811 paper published?,Avogadro's 1811 paper was published in French.
Who was Avogadro's wife?,Felicita Mazz
Who was Avogadro's wife?,Felicita Mazzé was Avogadro's wife.
Why did Avogadro lose his chair at the University of Turin?,He was active in the revolutionary movements of 1821 against the king of Sardinia
Why did Avogadro lose his chair at the University of Turin?,Avogadro lost his chair at the University of Turin because he was active in the revolutionary movements of 1821 against the king of Sardinia.
Was Amedeo Avogadro was born in Turin?,Yes
Was Amedeo Avogadro was born in Turin?,yes
Is Avogadro hailed as a founder of the atomic-molecular theory?,Yes
Is Avogadro hailed as a founder of the atomic-molecular theory?,yes
Did Johann Josef Loschmidt first calculate the value of Avogadro's number?,Yes
Did Johann Josef Loschmidt first calculate the value of Avogadro's number?,yes
"In 1820, Avogadro became a professor of physics where?",University of Turin
"In 1820, Avogadro became a professor of physics where?",University of Turin
Avogadro did not actually use what word?,atom
Avogadro did not actually use what word?,atom
The number of elementary entities in 1 mole of a substance is known as what?,Avogadro constant
The number of elementary entities in 1 mole of a substance is known as what?,Avogadro's constant
What would a German call Avogadro's number?,Loschmidt number
What would a German call Avogadro's number?,Loschmidt number
Is Amedeo Avogadro Italian?,Yes
Is Amedeo Avogadro Italian?,yes
Did he become a professor before the revolutionary movements against the king of Sardinia?,Yes
Did he become a professor before the revolutionary movements against the king of Sardinia?,yes
Do ants belong to the Hymenoptera order?,yes
Do ants belong to the Hymenoptera order?,yes
Are ants used in cuisine?,yes
Are ants used in cuisine?,yes
Does an ant's head contain sensory organs?,yes
Does an ant's head contain sensory organs?,yes
How do most ants travel?,most ants travel by walking
How do most ants travel?,by walking
"In ant colonies, what are the fertile female ants called?",queens
"In ant colonies, what are the fertile female ants called?",queens
Who wrote about ants in A Tramp Abroad?,mark twain wrote about ants
Who wrote about ants in A Tramp Abroad?,Mark Twain
"Do the ants eat plants, meats, or both?",both
What organs gives a bull ant its good sight?,compound eyes
What may happen to red fire ants if we use boiling water on the queen?,nests of red fire ants may be destroyed
What may happen to red fire ants if we use boiling water on the queen?,die
Are ants found in Antartica?,"No, there are no ants in antarctica."
Do male ants take flight before females?,"Yes, male ants take flight before females."
Do worker ants have wings?,"No, worker ants do not have wings."
What are the three segments of an ant?,"The head, mesosoma and metasoma are the three distinct body segments."
What are the ant colonies that lack queens called?,Colonies that lack queens are called gamergate colonies.
Where are bullet ants located?,Bullet ants are located in Central and South America.
Do ants belong to the same order as bees?,"Yes, ants belong to the same order as bees."
What is the most common color of ants?,Most ants are red or black.
Do all ants build nests?,"No, not all ants build nests."
Ultraviolet vision was first discovered in ants by Sir who in 1881?,John Lubbok
Do ants thrive in most ecosystems?,Yes.
Are several species of ants able to use the Earths magnetic field?,yes
Are termites actually more closely related to cockroaches as well as mantids?,"Yes, termites are actually more closely related to cockroaches as well as mantids."
Do some caterpillars produce vibrations as well as sounds?,yes
Did ants evolve from wasp-like ancestors in the mid-Cretaceous period between 110 and 130 million years ago and diversified after the rise of flowering plants?,yes
Is the ant a marsupial?,no
Are they easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist?,"Yes, they are easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist."
Is Antwerp a city?,Yes
Is Antwerp a municipality?,Yes
Is Antwerp in Belgium?,Yes
What is Antwerp?,Antwerp is a city and municipality in Belgium.
What is the population of the city of Antwerp?,"Antwerp's population is 472,071."
Where is the city of Antwerp?,Antwerp is in Belgium
Why is Antwerp important to fashion?,Yes
Antwerp is to the east of what river?,Antwerp is to the east of the Scheldt river
How many municipalities does Antwerp have?,"None, Antwerp is a municipality."
Is Arabic a Central Semitic language?,Yes
Was Arabic a major vehicle of culture in Europe?,Yes
Is Arabic classified alongside Semitic languages?,Yes
How many people speak the Arabic language?,280 million people.
When was Arabic calligraphy invented?,Many styles were developed after 786.
Where is Arabic spoken?,The Middle East and North Africa
Why is Arabic related to Islam?,Arabic is the liturgical language of Islam
Why does Arabic heavily influence European languages?,"Arabic was a major vehicle of culture in Europe, and the Arab and European civilizations are geographically close."
Is Arabic the largest member of the Semitic language family?,yes
Is Arabic the largest member of the Semitic language family?,yes
Does Modern Standard Arabic continue to evolve like other languages?,yes
Does Modern Standard Arabic continue to evolve like other languages?,yes
Is Hassaniya Arabic spoken in Mauritania?,yes
Is Hassaniya Arabic spoken in Mauritania?,Yes
What is the only variety of modern Arabic that has acquired official language status?,maltese
What is the only variety of modern Arabic that has acquired official language status?,Maltese
Egyptian Arabic is spoken by how many in Egypt?,76 million
Egyptian Arabic is spoken by how many in Egypt?,76 million
Where are the Western Arabic numerals used?,North Africa
Where are the Western Arabic numerals used?,present-day North Africa
The most active Academies of Arabic Language are found where?,damascus and cairo
Hassan Massoudy is a master of what genre?,Hassan Massoudy
Hassan Massoudy is a master of what genre?,Arabic calligraphy
Is Berlin the capital city of Germany?,Berlin is the capital city of Germany.
Is Berlin the capital city of Germany?,yes
Is Berlin the largest city in Germany?,Berlin is Germany's largest city.
Is Berlin the largest city in Germany?,yes
Is Schloss Charlottenburg the largest existing palace in Berlin?,Schloss Charlottenburg is the largest existing palace in Berlin. 
Is Schloss Charlottenburg the largest existing palace in Berlin?,yes
Which building is the site of the German parliament?,The Reichstag building is the site of the German parliament. 
Which building is the site of the German parliament?,The Reichstag building
Which two sports events did the Olympiastadion host?,The Olympiastadion hosted the 1936 Summer Olympics and the 2006 FIFA World Cup final. 
Which two sports events did the Olympiastadion host?,the 1936 Summer Olympics and the 2006 FIFA World Cup final
Where is the Berliner Dom located?,The Berliner Dom is located on the Spree Island across from the site of the Berliner Stadtschloss and adjacent to the Lustgarten.
Where is the Berliner Dom located?,on the Spree Island
Which Berlin building did architect Norman Foster remodel in the 1990s?,The Reichstag building was remodeled by architect Norman Foster in the 1990s.
Which Berlin building did architect Norman Foster remodel in the 1990s?,Reichstag building
"Why is Vattenfall shifting towards reliance on cleaner, renewable energy sources?","Because burning lignite produces harmful emissions, Vattenfall has announced a commitment to shift towards reliance on cleaner, renewable energy sources."
"Why is Vattenfall shifting towards reliance on cleaner, renewable energy sources?",Because burning lignite produces harmful emissions
What are the names of the two zoos in Berlin?,The two zoos in Berlin are the Zoologischer Garten Berlin and the Tierpark Friedrichsfelde.
What are the names of the two zoos in Berlin?,Zoologischer Garten Berlin and Tierpark Friedrichsfelde
Is Berlin the headquarters of Springer?,"Yes, Berlin is the headquarters of Springer."
Does the Gendarmenmarkt border the French Cathedral?,"Yes, the Gendarmenmarkt borders the French Cathedral."
Is the Nauen plain north of Berlin?,"No, the Nauen plain stretches to the west of Berlin."
Where is the bust of Queen Nefertiti?,The bust of Queen Nefertiti is in the Altes Museum.
Where does the German President live?,"The German President lives west of the center, Schloss Bellevue."
When did Berlin give up its status as a free Hanseatic city?,In 1451 Berlin gave up its status as a free Hanseatic city.
Which is the busiest airport in Berlin?,Tegel International Airport is the busiest airport in Berlin.
How many occupation zones was Germany divided into after the war?,Germany was divided into four occupation zones after the war.
Where was Popkomm held before moving to Berlin?,Popkomm was held in Cologne before moving to Berlin.
